丢三落四|形容做事马虎粗心，不是丢了这个，就是忘了那个。
细大不捐|细：微，小；捐：舍弃。小的大的都不抛弃。形容包罗一切，没有选择。
千里之堤，溃于蚁穴|堤：堤坝；溃：崩溃；蚁穴：蚂蚁洞。一个小小的蚂蚁洞，可以使千里长堤溃决。比喻小事不慎将酿成大祸。
案兵束甲|放下兵器，捆束铠甲。指停止作战。
风禾尽起|比喻顺应天心，得到天助。
四肢百骸|人体的各个部分。泛指全身。
安身之处|指得以立足容身的地方。
衔石填海|比喻为实现既定目标，坚韧不拔地奋斗到底。
甘雨随车|车行到哪里，及时寸就下到哪里。旧时称讼地方官的政治措施的话。
道头知尾|说个开头就知道结果。形容思维敏捷、悟性好。
溯流求源|比喻寻究事物的起始演变。同“溯流穷源”。
白面书生|指缺乏阅历经验的读书人。也指面孔白净的读书人。
龙拏虎攫|犹言龙争虎斗。比喻笔势遒劲、奔放。
魑魅魍魉|原为古代传说中的鬼怪。指各种各样的坏人。
借题发挥|借着某件事情为题目来做文章，以表达自己真正的意见或主张。也指假借某事为由，去做其它的事。
身后识方干|比喻一个人才，生前无人赏识，死后才被重视。
黑天半夜|指深更半夜。
泰极而否|泰、否：《周易》卦名，泰吉否凶。指事物发展到极端，就会向其相反的方面转化，好事会变成坏事。
身名俱灭|指身躯与名声一齐毁灭。
乐不可言|快乐到了极点，没法用语言来表达。
扭转乾坤|乾坤：天地。比喻从根本上改变整个局面。
遁迹方外|犹言避世隐居于僧道中。
垂涎欲滴|涎：口水。馋得连口水都要滴下来了。形容十分贪婪的样子。
是非之心|分辨是非得失的能力。
推陈致新|①排除陈旧的，生出新的来。指肌体内的新陈代谢。②泛指排除旧的，创出新的。
初生之犊不畏虎|比喻阅世不深的青年人敢说敢干，无所畏惧。
不了不当|犹言拖泥带水，没有了结。
秦越肥瘠|秦越两地相去遥远。比喻疏远隔膜，各不相关。
人一己百|别人一次就做好或学会的，自己做一百次，学一百次。比喻以百倍的努力赶上别人。
飞扬跋扈|飞扬：放纵；跋扈：蛮横。原指意态狂豪，不爱约束。现多形容骄横放肆，目中无人。
奉扬仁风|奉扬：颂扬；仁风：施行仁政如同风行。旧时用作颂扬德政。
闻声相思|声：名声。指思慕、钦仰有声望的人。
打闷葫芦|闷葫芦：比喻难猜解而令人纳闷的话或事情。指猜测令人纳闷的话事事情。
遭倾遇祸|遭逢危亡之世而遇祸害。
京兆眉妩|用以称女子眉样美好。
连车平斗|形容冗员很多。
别鹤离鸾|比喻离散的夫妻。
讽多要寡|讽谕之言多，切要之言少。
彝鼎圭璋|比喻典雅出众。
抱关执籥|持门闩，拿钥匙。指监门小吏的职务。
裁月镂云|剪裁明月，雕刻云霞。比喻诗文中辞藻润饰，景物描绘的新巧。
勇而无谋|谋：计谋。虽然勇敢，但没有智谋。
月旦春秋|比喻评论人物的好坏。
昂头阔步|昂：仰，高抬。抬起头迈开大步向前。形容精神备发或态度傲慢。参见“昂首阔步”。
枉矫过激|犹言矫枉过正。比喻纠正错误超过了应有的限度。
石火风灯|比喻为时短暂。
言之成理|之：代词，指所说的话。话说得有一定道理。
倔强倨傲|倔强：执拗；倨傲：傲慢。执拗而又傲慢。
粜风卖雨|比喻招摇撞骗。
研精阐微|研究阐明精深微妙之理。
神色不惊|神色：神情。神情显得没有受到惊动而十分镇定。
白沙在涅，与之俱黑|涅：黑土。白色的细沙混在黑土中，也会跟它一起变黑。比喻好的人或物处在污秽环境里，也会随着污秽环境而变坏。
复蹈前辙|蹈：踏上；前辙：先前车轮辗过的痕迹。重新踏上先前车轮辗过的痕迹。比喻不吸取教训，重犯错误。
十步香车|比喻处处都有人才。
触类而通|指掌握了某一事物的知识或规律，进而推知同类事物的知识或规律。
枷脰械手|犹言枷颈铐手。指拘系囚犯。
在所不辞|决不推辞（多用在冒险犯难）。
貂蝉满座|貂蝉：汉代侍从官员帽上的装饰物，旧用作达官贵人的代称。旧指官爵多而滥。
涓滴微利|涓：细流；滴：水珠。象小水珠一样微小的利益。
久病成医|病久了对医理就熟悉了。比喻对某方面的事见识多了就能成为这方面的行家。
暗箭明枪|比喻各种公开的攻击和暗地里的中伤。
车殆马烦|殆：通“怠”，疲乏；烦：烦躁。形容旅途劳顿。
橡饭菁羹|以橡实作饭，芜菁为羹。泛指饮食粗劣。
鼓盆之戚|旧指死了妻子。
黄雀伺蝉|螳螂正要捉蝉，不知黄雀在它后面正要吃它。比喻祸事临头还不知道。
臭不可当|当：承受。臭得使人受不了。比喻人名声极坏。
心腹之患|心腹：比喻要害。比喻隐藏在内部的严重祸害。也泛指最大的隐患。
金翅擘海|金翅：佛经中所说鸟名；擘：用手把东西分开或折断。比喻文辞笔力雄壮。
积毁销金|指不断的毁谤能使人毁灭。同“积毁销骨”。
魄散魂飞|形容非常恐惧害怕。
文行出处|文：学问；行：品行；出：作官；处：隐居。旧指文人的学问、品行和对待出仕隐退的态度。
梗泛萍飘|断梗、浮萍在水中漂浮。比喻漂泊流离。
投石下井|比喻乘人之危加以陷害。同“投阱下石”。
弹丸之地|弹丸：弹弓所用的铁丸或泥丸。弹丸那么大的地方。形容地方非常狭小。
折足覆餗|餗，鼎内食物。比喻力不能胜任，必至败事。
茹古涵今|犹言博古通今。对古代的事知道得很多，并且通晓现代的事情。形容知识丰富。
比肩随踵|犹比肩继踵。形容接连不断。
话言话语|犹谈话。
进退路穷|犹言进退无路。形容处境十分困难，进退两难，无处容身。
踔厉奋发|形容精神振奋，斗志昂扬。
不可思议|原有神秘奥妙的意思。现多指无法想象，难以理解。
半部论语治天下|旧时用来强调学习儒家经典的重要。
六尺之讬|指受嘱托抚育遗孤。
饮胆尝血|指刻苦自励。
暗室私心|指在暗中做见不得人的亏心事。同“暗室亏心”。
劳身焦思|劳：费；焦：焦急。形容人为某事忧心苦思。
肤见谫识|浅陋的见识。
左右两难|两面为难，不容易决定。
不翼而飞|翼：翅膀。没有翅膀却飞走了。比喻物品忽然丢失。也比喻事情传播得很迅速。
沥血叩心|剖露心胸。比喻竭尽忠诚、恳挚的心意。
一言不发|一句话也不说。
大明法度|明：严明；法度：规矩，制度。大力严明制度、法规。
恶紫夺朱|紫：古人认为紫是杂色；夺：乱；朱：大红色，古人认为红是正色。原指厌恶以邪代正。后以喻以邪胜正，以异端充正理。
爱不忍释|释：放下。对所喜欢的物品，爱得拿在手里久久不肯放下。
草莽英雄|草莽：草丛，草野。旧时指在山林出没的农民起义或强盗们中的著名人物。
筋疲力倦|犹言筋疲力尽。
一刻千金|一刻时光，价值千金。形容时间非常宝贵。
一尘不到|形容清净纯洁。
径情直遂|径情：任意，随心；遂：成功。随着意愿，顺利地得到成功。
荒淫无道|荒淫：淫乱无度，贪恋酒色。无道：不讲或不行道义。多指君主生活糜烂，重用奸佞，残害忠良，奴役百姓。
文山会海|形容文件会议多得泛滥成灾。
主守自盗|窃取公务上自己看管的财物。
成帮结队|犹成群结队。众多的人或动物结成一群群、一队队。
楚囚相对|形容人们遭遇国难或其他变故，相对无策，徒然悲伤。
通商惠工|通商：便利各地货物交流；惠：给人以好处。使贸易畅通，给工商业者带来好处。
转悲为喜|转悲哀为喜悦。
流水朝宗|朝宗：原指古代诸侯天子，借指百川入海。比喻人心所向。
不管一二|不论是非情由，不顾后果。
勾魂摄魄|勾取灵魂，形容事物有极大的吸引力。
云阶月地|以云为阶，以月为地。指天上。亦指仙境。
楚楚有致|形容陈列整齐，富有情趣。
临难铸兵|临到危难时，方才铸造兵器。比喻平时不作准备，临时才想办法。
生财有道|原指生财有个大原则，后指搞钱很有办法。
慢条厮礼|原指说话做事有条有理，不慌不忙。现也形容说话做事慢腾腾，不不慌不忙。同“慢条斯理”。
一丘之貉|丘：土山；貉：一种形似狐狸的野兽。一个土山里的貉。比喻彼此同是丑类，没有什么差别。
捧毂推轮|扶着车毂推车前进。古代帝王任命将帅时的隆重礼遇。
失之东隅，收之桑榆|东隅：东方日出处，指早晨；桑、榆：指日落处，也指日暮。比喻开始在这一方面失败了，最后在另一方面取得胜利。
欢喜若狂|欢喜：高兴的样子。高举得象发狂一样。
屡试不爽|屡次试验都不错。
江河日下|江河的水一天天地向下流。比喻情况一天天地坏下去。
侈纵偷苟|指奢侈放纵，苟且偷生。
歌于斯，哭于斯|歌唱在这里，哭泣在这里。指安居的家宅。
如鸟兽散|象一群飞鸟走兽一样逃散。形容溃败逃散。也比喻集团或组织解散后，其成员各奔东西。
万目睚眦|睚：眼角；眦：眼框；睚眦：瞪眼睛。众人瞪目表示愤怒。
挫骨扬灰|死后将骨头挫成灰撒掉。形容罪孽深重或恨之极深。
抗尘走俗|抗：举，引伸为表现；尘：尘世；走：跑；俗：世俗。形容为了名利，到处奔走钻营。
护国佑民|捍卫国家，保护人民。
束手缚脚|捆住手脚。形容胆子小，顾虑多。同“束手束脚”。
夜长梦短|比喻因有心事而难以入睡。
前不巴村|指走远道处在无处落脚的境地。也比喻处境尴尬或生活无依靠。
月晕础润|比喻事情将会发生的先兆。
连昏接晨|通宵达旦。整日整夜。
死诸葛能走生仲达|诸葛：诸葛亮；走：吓走；仲达：司马懿。指人虽死，余威犹在。
捉贼捉赃|比喻处理是非的事，要以事实为根据。
歃血为盟|歃血：古代会盟，把牲畜的血涂在嘴唇上，表示诚意；盟：宣誓缔约。。泛指发誓订盟。
以强凌弱|仗着自己强大就欺侮弱者。
不露声色|声：说话的声音；色：脸上的表情。心里的打算不在说话和脸色上显露出来。
意得志满|因愿望实现而心满意足。亦作“志得意满”。
秦失其鹿|鹿：喻指帝位。比喻失去帝位。
冰雪严寒|严寒：极度寒冷。冰天雪地，天气寒冷。
头昏脑胀|头脑发昏。形容人的繁忙或事物毫无头绪，使人厌烦。
望闻问切|中医用语。望，指观气色；闻，指听声息；问；指询问症状；切；指摸脉象。合称四诊。
拱揖指挥|指从容安舒，指挥若定。同“拱挹指麾”。
才高行洁|才智高超，操行纯洁。
冯驩弹铗|指怀才不遇或有才华的人希望得到恩遇。
恣情纵欲|无所节制的任情纵欲。
牙签万轴|形容藏书非常多。
移天换日|改变天，更换日。比喻价目表使用欺骗手段篡夺政权。
沉声静气|指声调低沉，态度平和。
